width,height,max_battery,charge_rate,wind_slip,obstacles,seed,gamma,theta,eval_episodes,no_render,vi_iterations,vi_last_delta,replay_steps,replay_return,replay_delivered
7,7,20,2,0.02,default,0,0.99,0.0001,0,True,48,8.085861655260373e-05,12,38.0,True
7,7,26,2,0.0,default,1,0.99,0.0001,0,True,38,0.0,12,38.0,True
7,7,20,2,0.11,default,2,0.99,0.0001,0,True,63,8.540040453652864e-05,14,36.0,True
7,7,23,2,0.02,default,3,0.99,0.0001,0,True,48,8.085861655260373e-05,12,38.0,True
7,7,35,2,0.07,default,4,0.99,0.0001,0,True,60,4.4198602766609696e-05,23,-73.0,True
7,7,27,2,0.16,default,5,0.99,0.0001,0,True,67,1.4395876846151623e-05,12,38.0,True
7,7,23,2,0.11,default,6,0.99,0.0001,0,True,64,9.32051274364909e-05,13,17.0,True
7,7,30,2,0.08,default,7,0.99,0.0001,0,True,61,9.647912973731465e-05,16,34.0,True
7,7,36,2,0.19,default,8,0.99,0.0001,0,True,105,2.4229507289419416e-10,18,32.0,True
7,7,29,2,0.12,default,9,0.99,0.0001,0,True,60,7.25785968267445e-05,28,-58.0,True
